message,is_toxic,Perspective_Class,DPCNN,Strudel,Hate_Speech,Keita_Kurita,bagofcommunities
"i know the code above sucks and is wrong, but move this to src_configure
 
 ideally, this wouldn't even exist as it'd be in the configure script ...",1,1,0,1,0,0,1
"I've generalized this to include all context managers as Alex prescribed. I've also left a general warning not to be an idiot about locking. Unfortunately, it won't reach its intended audience.",1,1,1,1,0,0,1
"Argh, I really suck at sorting! :)",1,1,1,1,0,1,0
I would just read the right half of the diff here. The old interface was confusing garbage.,1,1,0,1,0,0,1
"this is kind of ugly....
 
 uint32_t, u32 and int mixed in the same structure.",1,1,0,1,0,1,1
nit: rubbish character -> useless characters at the front of the json ...,1,1,0,1,0,0,0
You also need to add dumb mapping.,1,1,1,1,0,1,1
"Ha. ""You're the worst client_id that I've ever heard of."" ""Ah, but you have heard of me.""",1,1,1,1,0,1,0
I'll go ahead and do this. Reference code sucks here.,1,1,1,1,0,1,0
"should be quotes around this since `local` in dash is dumb
 
  local config_file=""$(.......)""",1,1,0,1,0,0,1
All defaults belong above. This call should be a dumb call.,1,1,1,1,0,1,1
"The loop is ugly.
 Just call self.run_client_test(sbutest, prod, enroll) after this line",1,1,0,1,0,1,1
"this adds a single garbage collection list, cleaned up in the finally clause. Unfortunately it adds an indent here, which makes the diff crappy :(",1,1,0,1,0,0,0
you can kill these dummy pass statements once you have a docstring,1,1,1,1,0,1,1
"It was also not immediately obvious to me why you were adding a bool to an int, but I get it now.
 
 Is there any way to make this more 'idiot-proof' for the next reader of the code?",1,1,0,1,0,0,1
#ERROR!,1,1,0,1,0,0,1
meh-- didn't realize I was being a moron. Moved flags to after target in iosbuild; works fine now. Abandoning this... although I guess the presence of -g in the base flags does bug me a bit. Whatever.,1,1,1,1,0,0,1
"Nit, DEFAULT_VLAUE = DEFAULT_MEAS_RANGE_VALUE
 
 I hate the length of my suggestion but DEFAULT_VALUE seems too vague",1,1,0,1,0,0,1
"This test is a horror show, but it is temporary state until all v1 crap is deleted.",1,1,1,1,0,0,1
checkpatch hates all of these m_XXX macros,1,1,0,1,0,0,1
"Done
 
 Damn it...",1,1,1,1,0,1,0
liar!,1,1,1,1,0,1,1
"its super ugly... I put an example in bbuart_unittests which I supply for unit testting.
 
 I'll put a short version that only has what I'm looking for here.",1,1,0,1,0,0,1
"I'd probably put the common deps here into a seperate var, than do
 
 RDEPEND=""gdmwimax? ( $COMMON )
 DEPEND=""gwdmwimax? ( $COMMON blah )""
 
 But that's just me being overly anal about it; what's there is fine.",1,1,0,1,0,0,1
"this is pretty ugly. create it in one assignment:
 
  cmd = [
  self.MYSQL_INSTALL_DB,
  ...
  ]",1,1,0,1,0,0,1
I think this is important enough to implement now. Without stable order the diffs will suck which kind of defeats the purpose of keeping history.,1,1,0,1,0,0,1
Here add: uniform->dirty = false; You can't clear all dirty bit in uniformArray since you only update the compute uniform constant. See my another comment in ProgramD3D.cpp,1,1,0,1,0,0,1
"Rather than doing this (and the ugly writel() wrapper), please do something like this:
 
  static uint32_t *grf_emmcphy_con = (uint32_t *)0xff77f780;
  static uint32_t *grf_emmcphy_status = (uint32_t *)0xff77f7a0;",1,1,0,1,0,0,0
"Lol. Get off my omnibox, you kids!",1,1,0,1,0,0,1
"Sucker. Yeah, that would have been so much better.",1,1,0,1,0,1,0
damn long name... shortening would be nice.,1,1,0,1,0,0,0
"This return API sucks; should be returning the exceptions imo, in doing so that removes the .apply_error_message overloading of patch objects.
 
 That said, enhancing that is intended as a separate rev, mainly to keep this patch managable for review.",1,1,1,1,0,1,1
Meh! Upload32... lame,1,1,0,1,0,0,0
"__str__ in this case is a bit off imo; and yes it's a bit of a javaism, but __str__ on an object generating a giant ass xml dump? That's not exactly pythonic.",1,1,1,1,1,1,1
"Yes, looks like this is a ugly hack :)",1,1,0,1,0,0,0
"Crap. I turned if off to check something, and forgot to turn it back on. That explains why it 'passed' when PerformStage was wrong.",1,1,1,1,0,1,0
Awful hack inserted.,1,1,0,1,0,1,1
"Like this: https://paste.googleplex.com/4712108690243584
 
 The diff is hilighted in red/green (so not preserved in the paste). The diffing library we use sucks.",1,1,0,1,0,1,1
probably better (even though nested structs are a bit ugly in Mojo),1,1,0,1,0,0,0
Are you planning to send this upstream? Or did the stupid reviews I got from Lee and Thierry scare you away? :),1,1,1,1,0,0,0
"that's fugly. Not your doing, but hate the constructs negations...",1,1,1,1,0,1,1
"Dislike this here. Is there a better place for this constant?
 
 Alternatively, leave it here, then we move the git crap out of this lib into it's own module...",1,1,1,1,0,0,1
"Hopefully no one will be stupid enouf to add spaces in file names, but yeah.
 
 Done",1,1,1,1,0,1,0
"Damn, you're right :-/ Fixing.",1,1,1,1,0,1,1
"darn it, I thought I got rid of this. done",1,1,0,1,0,0,0
"oh, oops :D
 
 This is broken on mac (or at least, it never worked for me). I had to comment it out to actually get the test to run. We really need to delete this env garbage.",1,1,0,1,0,0,1
"Done.
 Would you remove the ""well you best shut your
 brain hole and do it anyways"" sentence? To take a quote from your document ""stick with the pleasant methods please.""",1,1,1,1,0,1,1
"Wrapper for build_image.
 
 Can you remove the <nfs> portion since that's not supported by build_image yet (and this is just a dumb wrapper?)",1,1,1,1,0,0,1
son of a b*^(#,1,1,0,1,0,1,1
"optional: gmock is not super popular in chromium in general except for very simple ones, do you feel this mock class and matcher code might become simpler if it were written as a dumb c++ class? If so I might prefer a dumb class over gmock.",1,1,1,1,0,0,1
"Damn. I could have sworn I tested that in the golo. But you're right, it's not working for me. I'll switch it.",1,1,1,1,0,0,1
"don't currently, per offline commentary. Repo's idiotic writing of broken merge attributes is idiotic and I've no intent in dealing with that crap in the calling sites (it's the wrong spot).
 
 Planning on suppressing revisions/tags at the gitconfig level since they're not valid merge targets anyways (try it; even if you force such a config, git rebase tells you to get bent).. That makes this simplifed form correct.",1,1,0,1,0,1,1
"Ergh, brain-fart on my part. Done.",1,1,1,1,0,0,1
"I know this is simpler, but I don't know why an enterprise would care about disabling audio activity unless it delayed the lock screen. For the user in the enterprise case, losing this ability just becasue video is bad would suck.",1,1,1,1,0,0,1
"This will potentially interleave output, which sucks. Perhaps ""attachOutputForLogging"" should have a form that takes a bytes.Buffer?",1,1,0,1,0,1,1
Dammit! Thanks again :/.,1,1,0,1,0,0,0
"Hmm whitespace looks dumb there. Perhaps just drop the trailing comma?
 I wrote that, thanks for linting.",1,1,0,1,0,0,0
"Damn, I'm really sorry, worst typo ever. At least strict_cast saves the day. :)",1,1,1,1,0,0,0
I'll give you extra points to put this darn declaration in a header somewhere.,1,1,0,1,0,0,0
"Oups, I left garbage.",1,1,1,1,0,1,1
"Yeah, I think this sucks less.",1,1,1,1,0,1,0
"It's crap. We know it's crap. But I'd rather fix it on another pass. It's too easy to clean things up and break the video, and there are other fish that need frying.
 
 But, that said, I still hate this giant struct mess, and if I change it, the giant struct is the first thing to go.",1,1,1,1,0,1,1
dammit! thanks for keeping me honest :),1,1,0,1,0,0,0
"You are getting crazy here. :) With the NULL termination below and this assignment it makes me think you did something wrong.
 
 Why not have a char suffix = '0'; Then you can suffix++ below when creating a new string as well as using it here.",1,1,0,1,0,0,0
"While paranoid, I'd subshell this assignment and the following where sandbox must be disabled. Protects against anyone being stupid and sticking a return into the block...",1,1,1,1,0,0,1
"This is git being stupid. It didn't use the previous _build_id test for comparison, but the _with_cache for some reason. It marked the previous test as removed... But in reality it's just a rename of the _build_id and a change of all references to the buildername in the file.",1,1,0,1,0,1,1
"Sorry, I'm a moron. I didn't look closely enough what this does. You're still running through the whole cros_allow_auto_update check below even when this is set, so yeah, sounds perfectly reasonable.",1,1,1,1,0,1,1
"damn, I'm really bad at this. Should not happen.",1,1,1,1,0,0,0
"There's no difference between dumb map and DRM_IOCTL_VIRTGPU_MAP. Inside the kernel, DRM_IOCTL_VIRTGPU_MAP just calls the dumb mmap implementation. Everything else being equal, I decided to inherit the helper code.",1,1,0,1,0,0,1
"Oh, sorry, I misunderstood. I thought this was an unrelated bug that had just been fixed in the same code. Now I get that this patch is actually breaking it because a symbol is treated differently from a constant. Stupid assembler. -.-
 
 Will fix.",1,1,0,1,0,0,1
"Darn, I messed up the alignment by 1 space.",1,1,0,1,0,0,0
Useless.,1,1,0,1,0,1,1
Useless.,1,1,0,1,0,1,1
"can this be done in the first LayerTreeFrameSinkCreated?
 
 And just so I understand, we don't really need this signal, except UI could block in a sync call for the entire duration of renderer start up + compositor initialization and whatnot, right? can you write that in a comment?
 
 This increases start up latency a bit which kind of sucks.",1,1,0,1,0,0,0
"It hints to the compiler to generate less shitty code, which somehow appears necessary. Perhaps we should upgrade the compiler.",1,1,0,1,0,0,1
"it's a waste of space and brain drain to use useless wrappers. and yes, Windows is stupid for not being POSIX compliant.",1,1,1,1,0,0,1
"ugh, this style convolutes changes in patches... on-per-line is much nicer :-) although I know this is the autotest style... damn you mbligh, heh ; and I guess gerrit is also pretty good at partial line changes...",1,1,0,1,0,0,0
Damn you are absolutely correct. Clearly that was missed entirely. Well then meh.,1,1,1,1,0,1,0
The deeply nested 'with' crap I'll do something about shortly....,1,1,1,1,0,1,0
"Holy crap, that's perfect.",1,1,1,1,0,1,0
"Dammit. As usual, you are correct.",1,1,0,1,0,1,0
"crap; specifically recall that I needed to do that, although apparently forgot to do so ;)",1,1,0,1,0,1,1
"Ah, darn... Yeah, typec_set_input_current_limit() doesn't seem to do what I thought.
 
 We can follow-up with this in another patch since it will require some more invasive changes.",1,1,0,1,0,0,0
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way? Can you just put this in the factory? Or put it at each client?,1,1,0,1,0,0,0
Thanks for the catch. Darn html...we could use a formatter/linter.,1,1,0,1,0,0,0
"oh darn, you're absolutely right. I was in this silly mindset from something I was doing shortly ago where I was polling in between. Fixed",1,1,0,1,0,0,0
"Ah damn, this is probably because protobuf_to_dict is older than map<k,v> being a native type in protobuf. It turns out there's a completely undocumented google.protobuf.json_format, so using that instead.",1,1,1,1,0,0,1
"> goddamnit
 
 unnecessary
 
 > please make it a regular multiline if >_< it will be same 3 lines, but without excessive ((()))
 
 done",1,1,1,1,0,1,0
"Damn, you're right. My bad, the alias table was even malformed, but this was hidden by the full resource table, which masked it completely. This is now fixed. Thanks for spotting this.",1,1,1,1,0,0,1
Damn! I thought I caught them all!,1,1,1,1,0,1,1
"what the heck! I changed this, but somehow it was lost.",1,1,0,1,0,0,0
"chromite.cros.commands.* contradicts that. :)
 
 Find stays, although an os.walkdirs or similar perhaps (the find was used since it's far simpler than the walkdirs crap, imo).",1,1,1,1,0,0,0
"Holy crap, yes, must've been a typo when changing to RunCommand. THX",1,1,1,1,0,1,0
"Darn, braille captions already took a,b.",1,1,0,1,0,0,0
"Ohhhhh.... goddamnit! I even looked at this bit as well because Sonny said it would explain your amplitude issue, but I didn't see this... I guess we need to really watch out for that difference.",1,1,1,1,0,1,1
I astyled the whole damn thing!,1,1,1,1,0,0,1
"Darn, I made a spelling mistake a such a small CL :-( Will follow-up.",1,1,0,1,0,0,0
seems like a pretty crappy test to me. =P,1,1,0,1,0,0,0
"> start >> 20
 
 Oh damn I feel stupid now...
 
 Shouldn't you have seen this when you tested whether you can read back the values written through the mapping, though? (Also, I'm a little confused why this caused the slow down that we were seeing... I guess that's just a quirk of the chip dealing with invalid memory accesses.)",1,1,1,1,0,0,1
"#include'd. (TextEncoding is in WTF, not in blink)",1,1,0,1,0,0,1
"Just to make sure ,we specified BLOCK_SIZE as (size >> SPI_PACKET_LOG_SIZE_BYTES) - 1 but here we'll still ass (size >> SPI_PACKET_LOG_SIZE_BYTES) blocks transferred?",1,1,1,1,0,0,1
"Aww damn, yes. Fixed.",1,1,1,1,0,0,0
"Herr Apple says they're required:
 
 https://developer.apple.com/library/ios/documentation/DeveloperTools/Conceptual/testing_with_xcode/testing_3_writing_test_classes/testing_3_writing_test_classes.html
 
 In practice? I don't know. Stuff builds and tests pass without them, but for all I know doing that is subtlely breaking shit in XCTestCase land. Leaving them.",1,1,1,1,1,0,1
"damn: check should be:
 
  is self.args.url and self.is_bundle:
 
 Will fix.",1,1,1,1,0,1,1
this was WTF #1,1,1,0,1,0,1,1
"Oh, right... damn. Maybe something like this...?
 
  static const struct pll_div apll_1800_cfg = PLL_DIVSORS(...);
  static const struct pll_div apll_1392_cfg ...
 
  static const struct pll_div apll_cfgs[] = {
  [APLL_1800_MHZ] = apll_1800_cfg,
  ...
  }
 
 I guess that's getting ugly in other ways again, but at least it doesn't have the raw divisor numbers lying around like that. Or I guess you could just leave out the array and switch-case it in the code which one you choose (could even make it a 'u32 hz' argument instead of an enum then, although I'm not sure if that would really be a good thing).",1,1,0,1,0,0,1
wtf uses WTF_MAKE_NONCOPYABLE,1,1,1,1,0,1,1
"Done
 
 Damn it. So messed up by MSDN. I did (auto_rotation_state == AR_ENABLED) in the beginning. Then I thought it's better to use bitwise format in case MS changes anything in the future. Bang...",1,1,1,1,0,1,0
"I'm still going to unset it; If you clean up as you go (as this code does), that makes it more robust should someone ever gut the subshelling. It's the same reason we use functions in code (which this should be, in hindsight).
 
 It's unlikely this will ever bite us in the ass, but I'd rather this code be defensive than be stucking debugging it down the line.",1,1,1,1,0,0,1
"Ugh damnit, the second should be fp_offset. Fixing, thanks.",1,1,1,1,0,0,0
Ã„ck,1,0,0,0,0,0,1
"Hm, darn. Well, let's leave it like this for now; it might be possible to somehow improve this later.",1,1,0,1,0,0,0
"Turns out that this doesn't actually work unless you put it before the unconditional line. Damn you Kconfig...!
 
 Maybe this was the reason this patch didn't work for you, Furquan?",1,1,0,1,0,1,0
"Damn, I knew I should have found an example without Java... Done.",1,1,1,1,0,0,1
Changed to WTF::HashMap.,1,1,0,1,0,1,1
"Darn. Oh well, let's abandon this patch and maybe use your later suggestion (Proto, EVT, etc) instead to make it more obvious to the reader.",1,1,0,1,0,0,0
"You mean after executing the template? It is not trivial, since \n are significant inside code snippets.
 
 I failed to understand how to force text/template to emit correct spaces. I tried {- and -} and various combinations of thereof. This shit is insane. I gave up.",1,1,1,1,1,1,1
"Oh... damn, I checked this, but I guess I missed LDO6. It's not really great that you have to know the right base on your own when calling it. I'm starting to think we should really do a real PMIC driver instead of hardcoding everything here... maybe we can follow-up with a cleanup patch later.",1,1,1,1,0,0,0
"Oh, darn. I'm now realizing these contexts won't be consumable without at least some setup for floating point registers, so I guess I'll get on that now.",1,1,0,1,0,0,0
"Darn, forgot to update this line.",1,1,0,1,0,0,0
"Damn, I miss clue as to what the variable contains :-)",1,1,1,1,0,0,0
"All I heard was ""Damn it, Robbie, why can't you ever make python magical?""
 
 Your wish is my command :P.",1,1,0,1,0,0,0
"No. Damnit! ;)
 
 Okay, so we are really close now. The only thing I don't like is that we have both RK_CLRSETBITS() and RK_SETMSK() which do the same thing. We should have only one of the two.
 
 Please just:
 
 1. Remove RK_CLRSETBITS() and change everything that uses it to RK_SETMSK()
 
 2. Change to #define RK_SETBITS(val) RK_SETMSK(val, val)
 
 3. Change to #define RK_CLRBITS(val) RK_SETMSK(0, val)
 
 Then we will be fine!
 
 (Alternatively you could remove RK_SETMSK() and replace it with RK_CLRSETBITS(). One or the other, I'm fine with either. Just not both at the same time.)",1,1,0,1,0,0,1
"Darn. I have tested it, and there does not appear to be any way to get -Xclang-only to accept a two-word option (even connecting the two words with an '='). I have written an alternative fix.",1,1,0,1,0,0,1
"Oh crap, I didn't know that was a thing. Done!",1,1,1,1,0,1,0
"We don't need to call collect_au_log in the first place if log_dir is missing.
 
 >why don't just let collect_au_log to check any parameter it gets in?
 That kind of implicit handling is bad, it's how you end up with JavaScript:
 
  > '5' - 3
  2 // weak typing + implicit conversions = headaches
  > '5' + 3
  '53' // Because we all love consistency
  > '5' - '4'
  1 // string - string = integer. What?
  > '5' + + '5'
  '55'
  > 'foo' + + 'foo'
  'fooNaN' // Marvelous.
  > '5' + - '2'
  '5-2'
  > '5' + - + - - + - - + + - + - + - + - - - '-2'
  '52' // Apparently it's ok
  
  > var x = 3;
  > '5' + x - x
  50
  > '5' - x + x
  5 // Because fuck math",1,1,1,1,0,0,1
"ugh. Yes. damnit. I did this right before I took off. Time to go fix. And double check both deep and non-deep.
 
 Serves me right trying to get this out in a hurry.",1,1,0,1,0,0,1
"Damn it. I thought I was using the one you always push for.
 
 They are randomized in my head now.",1,1,1,1,0,1,0
Crap. I'll fix it and resubmit. Thanks.,1,1,1,1,0,1,0
whatttt *shruggggg*,1,1,0,1,0,1,1
"Actually, make it ""luci.builder.defaults.*"", it composes better (and there's more stuff I can imagine in the future under luci.<rule>.* namespace). It will also better convey that this shit is somewhat magical (since it is accessed via an attribute of a function, so some magic is involved).",1,1,1,1,0,0,1
"damnit, I hate it when I forget to save the file before I commit ;-)
 
 yes they were notes as I was coding the C file
 
 Done.",1,1,1,1,0,0,0
"Darn, it's fast in Crashpad, but it's very small. A --get-value=target_os that returns it unquoted would be nice, but nevermind then. :)",1,1,0,1,0,0,0
wtf,1,1,1,1,0,1,1
"Oh damn, I missed that. This is not correct. We need this whenever the debugger becomes active, which might also be the case because of a breakpoint being set, not just because of this flag. Will fix this in another CL.",1,1,1,1,0,0,1
"crap, these aren't static because of the UT right?",1,1,1,1,0,1,0
"Damn you're right, should be
 
 static constexpr uint32_t kBuiltinPrefix = (uint32_t('g') << 16) + (uint32_t('l') << 8) + uint32_t('_') ;
 uint32_t prefix = *reinterpret_cast<const uint32_t*>(name.c_str());
 return name.size() >= 4 && (prefix >> 8) == kBuiltinPrefix;",1,1,1,1,0,1,1
"I'm not sure why argv is on a second line.
 
 And damn this function is big! :)",1,1,0,1,0,0,1
"Damn you are right. The suite scheduler uses the test names when pulling results and job names aren't a problem but the dashboard definitely uses this field. 
 
 Fixed!",1,1,1,1,0,1,1
"ah, damn, sorry, you are right",1,1,1,1,0,0,0
typo: *S*TM32L,1,1,0,1,0,1,1
"Oh, crap, sorry, and I forgot the most important thing of course: these changed again, I got Dexter to change them. They're not where they originally were, unfortunately, but they're at least not on the PMIC. They should now be at BRD_ID0 = CMPCLK, BRD_ID1 = UTXD3 and BRD_ID2 = DAISYNC. (Those are the pins Dexter told me, but I haven't found a fully updated schematic with them yet. Please double-check with the ODM that these changes really made it into the build.)",1,1,1,1,0,0,0
"Damn. It's too early in the morning. I didn't even look to the left and see the ""is not set"". Sigh.
 
 ...so I think in this case the HDA_RECONFIG is actually being selected by some other config, and that's how it's becoming set. Let me track down exactly what did it.",1,1,0,1,0,0,1
"This is needed for ""!ERRORLEVEL!"" thingies below.
 
 As far as I understood, 'if ()' statements are parsed as a single ""line"" in one go. By default (without delayed expansion), interpreter substitutes variable values right away. So if %ERRORLEVEL% was 0 _BEFORE_ if (), it is also 0 inside 'if', regardless of any calls there. 
 
 I spend 3h trying to figure out this shit :( It is highly confusing...
 
 Using !ERRORLEVEL! tells the interpreter not to expand anything until the statement is really executed.",1,1,1,1,0,0,1
"It would be nicer to use ""size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This will work.",1,1,0,1,0,0,1
"Darn! Done, thanks.",1,1,0,1,0,0,0
Damn! This is so brilliant. Done. :),1,1,1,1,0,0,0
"> Done
 
 Oh darn, I forgot a ""not"" in my comment... delayed tasks are *not* delivered, which is same as quitSafely",1,1,0,1,0,0,0
Whichever is most popular. I don't feel strong but I want to be consistent. KB is just too damn big to see all at once for what I have in mind here.,1,1,0,1,0,0,1
"Darn, I would put it there now, but we don't even have that file in 3.14.",1,1,0,1,0,0,0
"I am using:
  pblendw
  psrlw
 instead of:
  punpckldq
  punpckhdq
 
 On Sandy/Ivy Bridge there is now difference, but Haswell/Skylake has only 1 vector permute (shuffle) unit so 2 punpck cannot issue in parallel in these later machines, while blendw and shift can issue in parallel (shit uses the vector ALU, blendw uses the vector permute unit) on all 4 of these micro-architectures.",1,1,0,1,0,0,1
"this should read:
 
  $(CXX) $(CPPFLAGS) $(CXXFLAGS) -c -o $@ $<",1,1,0,1,0,0,1
"Thanks, wtf I wrote..",1,1,0,1,0,1,0
whatttt *shruggggg*,1,1,0,1,0,1,1
"Shoot, this should be ""already_ran"". Doh!",1,1,0,1,0,0,1
"Oops, this IFNA should not be here, probably due to your rebase.",1,1,0,1,0,0,1
"This cast jungle is ugly.. it can be rewritten as
 
  InsertDeleteFlags nTempFlags( nFlags & ~InsertDeleteFlags( InsertDeleteFlags::NOTE | InsertDeleteFlags::ADDNOTES));
 
 I'll do in an amended commit.",1,1,0,1,0,1,1
"I realize that some of these are silly (lol at my terrible libc dependencies in the past), but are these other deps really unnecessary?",1,1,0,1,0,0,1
Provide an overloaded constructor instead? Nulls are evil.,1,1,0,1,0,1,1
The repeated setter looks ugly. Consider one masking step.,1,1,0,1,0,0,1
"So GAE sucks. Apps do not have access to their app ID during init() time. I had to resort to this late binding via ""placeholders"" in the pattern strings, e.g.:
 
 func init() {
  validation.Rules.Add(""services/${appid}"", ""config.cfg"", func(...) error {
  // Do validation.
  })
  validation.Rules.Add(""regex:projects/.*"", ""${appid}.cfg"", func(...) error {
  // Do validation.
  })
 }
 
 I couldn't find a cleaner solution :(
 
 The worst part about it is that the actual config loading API (cfgclient.Get) doesn't use ${appid}. Users will have to be careful to construct exact same strings as they use in validation patterns.
 
 Do you have any suggestions?
 
 I'm considering moving this placeholders shit up a layer into the root of the config library, so that both cfgclient and validation rules can use it (e.g. we'll be able to do cfgclient.Get(..., ""services/${appid}"", ...)). But it adds a weird-ass concept to already incredibly complicated API.
 
 :(",1,1,1,1,0,1,1
"Oh, right... damn. Maybe something like this...?
 
  static const struct pll_div apll_1800_cfg = PLL_DIVSORS(...);
  static const struct pll_div apll_1392_cfg ...
 
  static const struct pll_div apll_cfgs[] = {
  [APLL_1800_MHZ] = apll_1800_cfg,
  ...
  }
 
 I guess that's getting ugly in other ways again, but at least it doesn't have the raw divisor numbers lying around like that. Or I guess you could just leave out the array and switch-case it in the code which one you choose (could even make it a 'u32 hz' argument instead of an enum then, although I'm not sure if that would really be a good thing).",1,1,0,1,0,0,1
nit: nuke the white space,1,1,0,1,0,0,1
Is the plan to nuke all losetups or just as many as possible?,1,1,0,1,0,0,1
"Done
 
 Damn it. So messed up by MSDN. I did (auto_rotation_state == AR_ENABLED) in the beginning. Then I thought it's better to use bitwise format in case MS changes anything in the future. Bang...",1,1,1,1,0,1,0
put above dump for organization,1,1,0,1,0,0,1
"existing sucky name, will change",1,1,0,1,0,1,1
"I think it'd be easier to clean up the abort logic here first.
 
 The way this is written sucks. Move this check into doRunningStep first thing and have it return an empty Result and an error.
 
 Alternatively, remove it entirely and let autoserv get brutally murdered right after starts. Less logic is better. I don't think anyone cares if an abort before autoserv starts is cleaner than an abort during autoserv running.",1,1,0,1,0,0,1
"ugh, that's an ugly API. i didn't realize.
 
 there's a leak here. std::unique_ptr or std::vector<char> instead?",1,1,0,1,0,0,0
"ugly bag of mostly water, move cleanup to thread; drop the stopped boolean.",1,1,0,1,0,1,1
How the heck did I miss this?,1,1,0,1,0,0,0
"This is a replacement; replace all instances of '/' with a space.
 This actually isn't that obscure- it's more the escaping of '/' via \ that's a bit fugly. For future reference, look through man bash (not meant as a RTFM)- it's one of the best shell resources I've seen.
 
 Also, dash @!#*ing sucks. Seems to be choking on it. Rewriting to use a while instead.
 
 Note normally I'd say ""put this in python"", but since this has to hit every single repo and needs to be reasonably fast (james was complaining about forall the other day for example, validly or otherwise), I shoved it directly in.",1,1,0,1,0,0,1
what the heck does that mean?,1,1,0,1,0,0,0
You should nuke them if they aren't being used at all.,1,1,0,1,0,0,1
"we used to have procfs.h until very recently. there used to be a copy in bionic and another forked copy for the NDK stuff. i removed bionic's copy when we removed libthread_db from bionic, on the understanding that -- since both are only useful for gdb -- the ""true"" copy should be with gdb.
 
 but now it looks like we're committing random hacks against gdb instead? that's fucked up.",1,1,1,1,0,0,1
"I know it's not your code, but looking at the code, we should maybe just ask for a register. Silly to optimize for the null.foo() case.",1,1,0,1,0,0,1
"Fixed, must have screwed up something in my rebase :(",1,1,0,1,0,0,0
This is ugly. Either include graph_visualizer.h here or move the class declaration to this file.,1,1,0,1,0,0,1
"Heh. Must have had your head phones on this morning while David and I were debating why __del__ sucked and shouldn't be used (I still posit it's a language fault rather than implementation) ;)
 
 In looking at this, I get the strong feeling the __del__ is required. A TODO stating ""rebase to snakeoil.weakrefs.WeakRefFinalizer"" would be wise.",1,1,0,1,0,0,0
"something is going wrong with the indentation here - or perhaps before, make sure it's 4 spaces (and configure your editor to ensure that, if it is too dumb to do it out of the box)",1,1,0,1,0,0,1
"i think this changes the behavior of ""reboot-bootloader"". didn't ""reboot-bootloader any old crap can follow"" work?
 
 i feel like we're making this already unreadable mess even worse.",1,1,1,1,0,0,1
"oh, and please drop the silly SAL_CALL from those inline functions",1,1,0,1,0,0,0
Fixed in this CL. Using 0u is a bit ugly too :/.,1,1,0,1,0,0,0
I don't actually need all this junk...,1,1,0,1,0,0,1
I'm hoping that you won't tell me that this is a horrible hack :),1,1,0,1,0,0,1
"Yuck. Any program executed by any kernel thread, including usermodehelper, from rootfs will switch to init?",1,1,0,1,0,0,1
I hate this name. Itâ€™s too long.,1,1,0,1,0,0,1
android doesn't care. the code's above is fine as it is. this #if crap is cruft from when bionic didn't have <syslog.h>.,1,1,1,1,0,0,1
"I know this is incredibly anal, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.",1,1,0,1,0,0,1
"yeah, i was going to try to keep this in sysdeps_win32.cpp, but when i looked more closely i realized it wasn't just used for the _win32_lock, it's for *all* the adb mutexes. when we bump the minimum supported version to vista in a week or two, we should be able to fix libc++'s std::mutex and then just delete all this crap. but i agree this is probably the least worst choice in the meantime...",1,1,1,1,0,0,1
"Does this mean that if the header is corrupt, we're screwed?",1,1,0,1,0,1,1
dirty. to be fixed.,1,1,0,1,0,1,1
"They're screwed.
 
 (I don't think so, the original version didn't, at least.)",1,1,0,1,0,0,0
"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",1,1,1,1,0,0,1
"Ah, silly oversight. Fixing.",1,1,0,1,0,0,0
wtf?,1,1,1,1,0,1,1
"Yuck, there has to be a private header for this!",1,1,0,1,0,0,1
"doesn't a return value of ""null"" mean no password ? do we really want to pretend that a password doesn't exist here ?
 
 (yes, i know - the alternative sucks too)",1,1,1,1,0,0,1
"when you're doing something unidiomatic like not using a vector, it's worth adding a comment explaining ""This code is used in the Windows SDK where the STL is not available."" so the next person to see this code doesn't think ""that's stupid; let me fix that""...",1,1,0,1,0,0,0
"is this right?
 
 i fixed the ARM version of this file recently, but i think the MIPS version is still utter crap. (the x86 was always fine.)
 
 i told MIPS about this at the time, but haven't heard anything from them since.",1,1,0,1,0,0,0
Oops. I had cleaned this all up but I guess I screwed up a rebase.,1,1,0,1,0,0,0
"Damn, good catch, I added that if() without thinking and my test just coincidentally happened to work.
 
 Fixed and added another test to cover that case.",1,1,0,1,0,0,0
When I change the API I will delete it. Having this kind of thing being a public millstone for the GC is ridiculous.,1,1,0,1,0,0,1
"ok :(
 horrible class interface",1,1,0,1,0,0,0
Check if the JIT is enabled then. It sucks to not have coverage.,1,1,1,1,0,1,0
"i think this is a great example of why ""the file that contains all the implementation detail crap"" ought to have a more intention-revealing name...",1,1,0,1,0,0,0
"no, but I also could find no way to get an array initialisation in to a parameter of a constructor that did not suck far worse",1,1,1,1,0,0,1
"Yuk, this should have used std::auto_lock",1,1,0,1,0,0,0
"I seriously dislike this extern coupling. Thinking about a ""standalone"" header.",1,1,0,1,0,0,1
"Darn, braille captions already took a,b.",1,1,0,1,0,0,0
"Cause it's more complicated to manage that, in this is slow-path code (it was a map, then I went with the lighter-weight vector). Admittedly naming sucks, I'll make it LockCountData.",1,1,0,1,0,0,1
